domain,variable,n,mean,ci_lower,ci_upper
bbc.co.uk,mentions_agent_type__NarratedOrganization_per_argument,32,0.08610975408329946,0.04517291472447521,0.13551402697033885
bbc.co.uk,mentions_agent_type__NarratedOrganization_per_quote,32,0.07005163965527388,0.038337186463509455,0.10642263420340124
bbc.co.uk,mentions_agent_type__NarratedPerson_per_argument,32,0.09472976923803077,0.0261109042279119,0.19044158764674432
bbc.co.uk,mentions_agent_type__NarratedPerson_per_quote,32,0.07737797867892976,0.023179587339743592,0.1516716438848741
bbc.co.uk,mentions_agent_type__NarratedPolitician_per_argument,32,0.3465466437228405,0.24014812699945076,0.46089777558474365
bbc.co.uk,mentions_agent_type__NarratedPolitician_per_quote,32,0.2797493157111373,0.19579962178071636,0.37041370329877665
bbc.co.uk,mentions_agent_type__NarratedState_per_argument,32,0.5643130054688901,0.4263118900905073,0.7070916364392863
bbc.co.uk,mentions_agent_type__NarratedState_per_quote,32,0.4415675812552166,0.3342538944605448,0.5508240550560556
kyivpost.com,quotes_per_argument,58,1.225149303562883,1.145182289132777,1.300839175464806
kyivpost.com,quote_type__DirectQuote_per_argument,58,0.3913925779657871,0.3281351122143932,0.45803725833279374
kyivpost.com,quote_type__IndirectQuote_per_argument,58,0.41894094460217546,0.3714485865619499,0.4682224499516087
kyivpost.com,quote_type__ParaphrasedQuote_per_argument,58,0.41481578099492045,0.3653655269735158,0.4676989548582474
kyivpost.com,quote_status__CallToAction_per_argument,58,0.02909934011340544,0.012269516283524901,0.04896014120860989
kyivpost.com,quote_status__Contradiction_per_argument,58,0.013626848801531196,0.005072154856637615,0.02406986096556196
kyivpost.com,quote_status__HypotheticalStatement_per_argument,58,0.0030626134301270412,0.0,0.008620689655172414
kyivpost.com,quote_status__InterpretiveStatement_per_argument,58,0.2833808164096676,0.22849995623749228,0.3441449186396708
kyivpost.com,quote_status__OfficialPosition_per_argument,58,0.31308960899011073,0.25233388907859455,0.3733094688427238
kyivpost.com,quote_status__PersonalOpinion_per_argument,58,0.07550063714857672,0.04413974047619758,0.11429230380820736
kyivpost.com,quote_status__ReportedStatement_per_argument,58,0.5073894386694643,0.437679006120743,0.5774377936871765
kyivpost.com,unique_agents_per_argument,58,1.1283856207757936,1.0434081759499116,1.2186791102274148
kyivpost.com,unique_agent_types_per_argument,58,0.5140418202190915,0.4648397053508748,0.5657044819882442
kyivpost.com,mentions_per_argument,58,1.520079697667906,1.358963520580667,1.6821933430220837
kyivpost.com,mentions_per_quote,58,1.2689738597975482,1.1462142430574782,1.3890076094578307
kyivpost.com,mentions_agent_type__NarratedAcademic_per_argument,58,0.00646551724137931,0.0,0.01939655172413793
kyivpost.com,mentions_agent_type__NarratedAcademic_per_quote,58,0.0054446460980036296,0.0,0.016333938294010888
kyivpost.com,mentions_agent_type__NarratedActivist_per_argument,58,0.003241968759210138,0.0,0.008399646330680813
kyivpost.com,mentions_agent_type__NarratedActivist_per_quote,58,0.0023170233065285535,0.0,0.0062014447321793635
kyivpost.com,mentions_agent_type__NarratedAgentUndecided_per_argument,58,0.18430474109653672,0.1383610592664485,0.23305009970664656
kyivpost.com,mentions_agent_type__NarratedAgentUndecided_per_quote,58,0.1505550401273302,0.11330081547454865,0.1921599321187984
kyivpost.com,mentions_agent_type__NarratedBusinessLeader_per_argument,58,0.0047021943573667705,0.0,0.014106583072100312
kyivpost.com,mentions_agent_type__NarratedBusinessLeader_per_quote,58,0.003448275862068966,0.0,0.010344827586206898
kyivpost.com,mentions_agent_type__NarratedCorporation_per_argument,58,0.03857542755869328,0.015715133623982507,0.06511012490158027
kyivpost.com,mentions_agent_type__NarratedCorporation_per_quote,58,0.04031542606593316,0.016126785092302334,0.069297859425902
kyivpost.com,mentions_agent_type__NarratedCriminal_per_argument,58,0.0,0.0,0.0
kyivpost.com,mentions_agent_type__NarratedCriminal_per_quote,58,0.0,0.0,0.0
kyivpost.com,mentions_agent_type__NarratedCriminalOrganization_per_argument,58,0.0,0.0,0.0
kyivpost.com,mentions_agent_type__NarratedCriminalOrganization_per_quote,58,0.0,0.0,0.0
kyivpost.com,mentions_agent_type__NarratedGeneralPublic_per_argument,58,0.05856103968626655,0.02274736757495378,0.10382901373429954
kyivpost.com,mentions_agent_type__NarratedGeneralPublic_per_quote,58,0.046429815395332634,0.019130964820619992,0.07924506767179179
kyivpost.com,mentions_agent_type__NarratedGeneralWorker_per_argument,58,0.010579937304075233,0.0,0.027429467084639492
kyivpost.com,mentions_agent_type__NarratedGeneralWorker_per_quote,58,0.009618874773139744,0.0,0.02613430127041742
kyivpost.com,mentions_agent_type__NarratedGovernment_per_argument,58,0.11517767289292323,0.0780046956253152,0.15586103563841228
kyivpost.com,mentions_agent_type__NarratedGovernment_per_quote,58,0.09820452566561129,0.06479456596822546,0.13414755306568124
kyivpost.com,mentions_agent_type__NarratedInstitution_per_argument,58,0.02838298975202466,0.013089779830014829,0.04722490096310755
kyivpost.com,mentions_agent_type__NarratedInstitution_per_quote,58,0.02846899891830986,0.012615520545451476,0.047657848694666764
kyivpost.com,mentions_agent_type__NarratedInternationalOrganization_per_argument,58,0.03151095854135781,0.010047046495549213,0.061696242983674904
kyivpost.com,mentions_agent_type__NarratedInternationalOrganization_per_quote,58,0.024548299158691327,0.008628491205525054,0.04528769567284028
kyivpost.com,mentions_agent_type__NarratedJournalist_per_argument,58,0.0,0.0,0.0
kyivpost.com,mentions_agent_type__NarratedJournalist_per_quote,58,0.0,0.0,0.0
kyivpost.com,mentions_agent_type__NarratedMediaOrganization_per_argument,58,0.004652435686918442,0.0009578544061302672,0.009578544061302676
kyivpost.com,mentions_agent_type__NarratedMediaOrganization_per_quote,58,0.003681208638105188,0.0007836990595611276,0.007577934517589686
kyivpost.com,mentions_agent_type__NarratedMilitary_per_argument,58,0.07313145586605606,0.039717163937565345,0.11098549241688051
kyivpost.com,mentions_agent_type__NarratedMilitary_per_quote,58,0.061953343043206384,0.033583082816528685,0.09468167422540147
kyivpost.com,mentions_agent_type__NarratedMilitaryFigure_per_argument,58,0.020963949843260186,0.0021551724137931034,0.04976489028213165
kyivpost.com,mentions_agent_type__NarratedMilitaryFigure_per_quote,58,0.022126436781609193,0.0014367816091954018,0.055172413793103454
kyivpost.com,mentions_agent_type__NarratedNGO_per_argument,58,0.0025577870405456603,0.0,0.0064418340280409225
kyivpost.com,mentions_agent_type__NarratedNGO_per_quote,58,0.0015333242469674241,0.0,0.003850347553495976
kyivpost.com,mentions_agent_type__NarratedOrganization_per_argument,58,0.14748116631657254,0.09876039075896285,0.20086597075584345
kyivpost.com,mentions_agent_type__NarratedOrganization_per_quote,58,0.11404547233004328,0.07920780930438141,0.15154569147976302
kyivpost.com,mentions_agent_type__NarratedPerson_per_argument,58,0.039878775439120266,0.015164988866497484,0.07113772422500868
kyivpost.com,mentions_agent_type__NarratedPerson_per_quote,58,0.03702196244499009,0.015038314176245212,0.06352877418359956
kyivpost.com,mentions_agent_type__NarratedPolitician_per_argument,58,0.1328105048279597,0.0885950852701146,0.18185392251226762
kyivpost.com,mentions_agent_type__NarratedPolitician_per_quote,58,0.11186133092099225,0.07354133768359009,0.15750566199743266
kyivpost.com,mentions_agent_type__NarratedState_per_argument,58,0.6171011754576397,0.49799568877011624,0.7370228489823876
kyivpost.com,mentions_agent_type__NarratedState_per_quote,58,0.507399856020685,0.41216213761292464,0.6053155052258555
sputnikglobe.com,quotes_per_argument,53,1.5013077485469273,1.3668490556490003,1.6615543612109924
sputnikglobe.com,quote_type__DirectQuote_per_argument,53,0.6466386831814134,0.4865837924484568,0.8471289495973875
sputnikglobe.com,quote_type__IndirectQuote_per_argument,53,0.46626700312882335,0.38933538687388564,0.5479046900349619
sputnikglobe.com,quote_type__ParaphrasedQuote_per_argument,53,0.3884020622366903,0.30247877265323153,0.4791182395958339
sputnikglobe.com,quote_status__CallToAction_per_argument,53,0.046195314119842415,0.02167768159513442,0.07474708860322066
sputnikglobe.com,quote_status__Contradiction_per_argument,53,0.018231506439053607,0.0026954177897574112,0.040056903264450425
sputnikglobe.com,quote_status__HypotheticalStatement_per_argument,53,0.009784712143202708,0.0012578616352201244,0.02192791485244315
sputnikglobe.com,quote_status__InterpretiveStatement_per_argument,53,0.5400539696460895,0.41572102164083297,0.6752841722573272
sputnikglobe.com,quote_status__OfficialPosition_per_argument,53,0.38133190647064125,0.295651931848519,0.4716160018456078
sputnikglobe.com,quote_status__PersonalOpinion_per_argument,53,0.26408163608496565,0.1909680803919844,0.3442720670315009
sputnikglobe.com,quote_status__ReportedStatement_per_argument,53,0.24162870364313205,0.18532124249070694,0.2996810500819934
sputnikglobe.com,unique_agents_per_argument,53,1.3916268787939154,1.2373568707236158,1.5612049226054496
sputnikglobe.com,unique_agent_types_per_argument,53,0.681140409719766,0.5948545118942593,0.7753779837516656
sputnikglobe.com,mentions_per_argument,53,2.018026194732632,1.7938082147304544,2.260441694358176
sputnikglobe.com,mentions_per_quote,53,1.3606914280573221,1.2576018927658936,1.4747471385562945
sputnikglobe.com,mentions_agent_type__NarratedAcademic_per_argument,53,0.006289308176100627,0.0,0.015723270440251565
sputnikglobe.com,mentions_agent_type__NarratedAcademic_per_quote,53,0.0031446540880503133,0.0,0.008385744234800836
sputnikglobe.com,mentions_agent_type__NarratedActivist_per_argument,53,0.0072776280323450125,0.0,0.019946091644204852
sputnikglobe.com,mentions_agent_type__NarratedActivist_per_quote,53,0.004939965694682675,0.0,0.013310463121783874
sputnikglobe.com,mentions_agent_type__NarratedAgentUndecided_per_argument,53,0.23973701566653838,0.15448144876765854,0.3339904810936997
sputnikglobe.com,mentions_agent_type__NarratedAgentUndecided_per_quote,53,0.15753320473285828,0.10508746697080532,0.21470424693325382
sputnikglobe.com,mentions_agent_type__NarratedBusinessLeader_per_argument,53,0.005241090146750523,0.0,0.01362683438155136
sputnikglobe.com,mentions_agent_type__NarratedBusinessLeader_per_quote,53,0.003444144953578915,0.0,0.00898472596585804
sputnikglobe.com,mentions_agent_type__NarratedCorporation_per_argument,53,0.03207547169811321,0.0,0.07610062893081761
sputnikglobe.com,mentions_agent_type__NarratedCorporation_per_quote,53,0.021004676665054026,0.0,0.04942751169166264
sputnikglobe.com,mentions_agent_type__NarratedCriminal_per_argument,53,0.0,0.0,0.0
sputnikglobe.com,mentions_agent_type__NarratedCriminal_per_quote,53,0.0,0.0,0.0
sputnikglobe.com,mentions_agent_type__NarratedCriminalOrganization_per_argument,53,0.01729559748427673,0.0,0.04716981132075472
sputnikglobe.com,mentions_agent_type__NarratedCriminalOrganization_per_quote,53,0.012578616352201257,0.0,0.03459119496855346
sputnikglobe.com,mentions_agent_type__NarratedGeneralPublic_per_argument,53,0.042193655401202575,0.013243831640058054,0.08161867613518549
sputnikglobe.com,mentions_agent_type__NarratedGeneralPublic_per_quote,53,0.03016655776089738,0.009809687168177731,0.057670854433826066
sputnikglobe.com,mentions_agent_type__NarratedGeneralWorker_per_argument,53,0.0,0.0,0.0
sputnikglobe.com,mentions_agent_type__NarratedGeneralWorker_per_quote,53,0.0,0.0,0.0
sputnikglobe.com,mentions_agent_type__NarratedGovernment_per_argument,53,0.09494974288259526,0.05364389737620869,0.1435787330501536
sputnikglobe.com,mentions_agent_type__NarratedGovernment_per_quote,53,0.06597344228586656,0.037646255987751225,0.0996946457145174
sputnikglobe.com,mentions_agent_type__NarratedInstitution_per_argument,53,0.043011732995084824,0.0023584905660377358,0.11082130965593784
sputnikglobe.com,mentions_agent_type__NarratedInstitution_per_quote,53,0.03297437418589355,0.0018867924528301887,0.08236629309121861
sputnikglobe.com,mentions_agent_type__NarratedInternationalOrganization_per_argument,53,0.060573569050261615,0.02122444968553459,0.11109683024153058
sputnikglobe.com,mentions_agent_type__NarratedInternationalOrganization_per_quote,53,0.04981555349713536,0.01485701976917877,0.09783504265658591
sputnikglobe.com,mentions_agent_type__NarratedJournalist_per_argument,53,0.0,0.0,0.0
sputnikglobe.com,mentions_agent_type__NarratedJournalist_per_quote,53,0.0,0.0,0.0
sputnikglobe.com,mentions_agent_type__NarratedMediaOrganization_per_argument,53,0.007337526205450732,0.0,0.018867924528301886
sputnikglobe.com,mentions_agent_type__NarratedMediaOrganization_per_quote,53,0.0038933812518718173,0.0,0.009883198562443844
sputnikglobe.com,mentions_agent_type__NarratedMilitary_per_argument,53,0.04299191374663073,0.009433962264150943,0.09064353099730445
sputnikglobe.com,mentions_agent_type__NarratedMilitary_per_quote,53,0.02464265294453973,0.00669362084456424,0.04804959977129784
sputnikglobe.com,mentions_agent_type__NarratedMilitaryFigure_per_argument,53,0.0017152658662092622,0.0,0.005145797598627787
sputnikglobe.com,mentions_agent_type__NarratedMilitaryFigure_per_quote,53,0.0012578616352201244,0.0,0.0037735849056603735
sputnikglobe.com,mentions_agent_type__NarratedNGO_per_argument,53,0.0,0.0,0.0
sputnikglobe.com,mentions_agent_type__NarratedNGO_per_quote,53,0.0,0.0,0.0
sputnikglobe.com,mentions_agent_type__NarratedOrganization_per_argument,53,0.2669952950613328,0.1817238251790138,0.35896775198072356
sputnikglobe.com,mentions_agent_type__NarratedOrganization_per_quote,53,0.18917632907644005,0.12754001552974914,0.2585621058505353
sputnikglobe.com,mentions_agent_type__NarratedPerson_per_argument,53,0.005615453728661276,0.0,0.014150943396226415
sputnikglobe.com,mentions_agent_type__NarratedPerson_per_quote,53,0.0040022870211549435,0.0,0.009648370497427094
sputnikglobe.com,mentions_agent_type__NarratedPolitician_per_argument,53,0.36311940926258346,0.2613809755881065,0.47417046362350174
sputnikglobe.com,mentions_agent_type__NarratedPolitician_per_quote,53,0.22440259324431372,0.16572622183431665,0.2874582752897641
sputnikglobe.com,mentions_agent_type__NarratedState_per_argument,53,0.781606519328495,0.6380341168881679,0.935689653483771
sputnikglobe.com,mentions_agent_type__NarratedState_per_quote,53,0.5317411326675633,0.44173570050377436,0.622716497112233
