metric,mean,median,std,min,max,count
attributions_agent_type__NarratedPolitician,4.545454545454546,2.0,5.324309480755509,0.0,21.0,143
attributions_agent_type__NarratedPolitician_per_100,1.1174409269238785,0.6535947712418301,1.2812650830812933,0.0,5.633802816901408,143
attributions_agent_type__NarratedPolitician_per_argument,0.35386628346005955,0.17391304347826086,0.4435312993803472,0.0,1.8888888888888888,143
attributions_agent_type__NarratedPolitician_per_quote,0.25126138160359046,0.15789473684210525,0.2822538721662013,0.0,1.0,143
attributions_agent_type__NarratedState,0.36363636363636365,0.0,0.8844944011753989,0.0,7.0,143
attributions_agent_type__NarratedState_per_100,0.09662224049266868,0.0,0.222574780388223,0.0,1.1804384485666104,143
attributions_agent_type__NarratedState_per_argument,0.02804154251601978,0.0,0.06618947725492529,0.0,0.4,143
attributions_agent_type__NarratedState_per_quote,0.021319995129589066,0.0,0.05074297383054907,0.0,0.3333333333333333,143
attributions_per_100,2.2948937854647022,2.1447721179624666,1.216621451413743,0.0,5.633802816901408,143
attributions_per_argument,0.7374666274579031,0.6666666666666666,0.514257326737018,0.0,4.333333333333333,143
attributions_per_quote,0.5284849340047745,0.5263157894736842,0.24693174093607168,0.0,1.0,143
attributions_total,8.881118881118882,8.0,5.237311306882987,0.0,25.0,143
mentions_agent_type__NarratedAcademic,0.055944055944055944,0.0,0.5142507715143962,0.0,6.0,143
mentions_agent_type__NarratedAcademic_per_100,0.01492352013946668,0.0,0.12264315700911584,0.0,1.3636363636363635,143
mentions_agent_type__NarratedAcademic_per_argument,0.004953379953379953,0.0,0.03683536950585916,0.0,0.375,143
mentions_agent_type__NarratedAcademic_per_quote,0.0033738191632928472,0.0,0.02827522813240537,0.0,0.3157894736842105,143
mentions_agent_type__NarratedActivist,0.04195804195804196,0.0,0.2620108016837397,0.0,2.0,143
mentions_agent_type__NarratedActivist_per_100,0.016018810646654127,0.0,0.12429179661716672,0.0,1.3888888888888888,143
mentions_agent_type__NarratedActivist_per_argument,0.004012227089150166,0.0,0.0275263615861247,0.0,0.2857142857142857,143
mentions_agent_type__NarratedActivist_per_quote,0.002770668067110755,0.0,0.01848389462609129,0.0,0.18181818181818182,143
mentions_agent_type__NarratedAgentUndecided,2.335664335664336,1.0,2.884987992613126,0.0,15.0,143
mentions_agent_type__NarratedAgentUndecided_per_100,0.5904899570553181,0.42016806722689076,0.7226870944930393,0.0,3.5714285714285716,143
mentions_agent_type__NarratedAgentUndecided_per_argument,0.1862160287514145,0.125,0.24752256986844434,0.0,1.4285714285714286,143
mentions_agent_type__NarratedAgentUndecided_per_quote,0.1379958329751053,0.1,0.16880797135542228,0.0,0.7777777777777778,143
mentions_agent_type__NarratedBusinessLeader,0.04895104895104895,0.0,0.32127982031094454,0.0,3.0,143
mentions_agent_type__NarratedBusinessLeader_per_100,0.012611062704037364,0.0,0.0846260909094613,0.0,0.8086253369272237,143
mentions_agent_type__NarratedBusinessLeader_per_argument,0.004129405947587765,0.0,0.02829238525580659,0.0,0.2727272727272727,143
mentions_agent_type__NarratedBusinessLeader_per_quote,0.002979146457407327,0.0,0.020222165559842496,0.0,0.2,143
mentions_agent_type__NarratedCorporation,0.3776223776223776,0.0,1.5142710597223394,0.0,14.0,143
mentions_agent_type__NarratedCorporation_per_100,0.09460362728111817,0.0,0.3416759547820828,0.0,2.540834845735027,143
mentions_agent_type__NarratedCorporation_per_argument,0.02837325033849098,0.0,0.10495809441546594,0.0,0.7,143
mentions_agent_type__NarratedCorporation_per_quote,0.025048792711053723,0.0,0.08878291653402438,0.0,0.5833333333333334,143
mentions_agent_type__NarratedCriminal,0.03496503496503497,0.0,0.4181210050035454,0.0,5.0,143
mentions_agent_type__NarratedCriminalOrganization,0.04195804195804196,0.0,0.3729238466633953,0.0,4.0,143
mentions_agent_type__NarratedCriminalOrganization_per_100,0.01704748400783643,0.0,0.15744498417851002,0.0,1.7621145374449338,143
mentions_agent_type__NarratedCriminalOrganization_per_argument,0.00641025641025641,0.0,0.059402445536297484,0.0,0.6666666666666666,143
mentions_agent_type__NarratedCriminalOrganization_per_quote,0.004662004662004662,0.0,0.04398061149887885,0.0,0.5,143
mentions_agent_type__NarratedCriminal_per_100,0.005808145343029064,0.0,0.06945531644577166,0.0,0.8305647840531561,143
mentions_agent_type__NarratedCriminal_per_argument,0.001665001665001665,0.0,0.019910524047787873,0.0,0.23809523809523808,143
mentions_agent_type__NarratedCriminal_per_quote,0.001456876456876457,0.0,0.017421708541814393,0.0,0.20833333333333334,143
mentions_agent_type__NarratedGeneralPublic,0.4405594405594406,0.0,1.2311816013596228,0.0,7.0,143
mentions_agent_type__NarratedGeneralPublic_per_100,0.13897992214413213,0.0,0.3823068071195357,0.0,2.1671826625387,143
mentions_agent_type__NarratedGeneralPublic_per_argument,0.043853102281515975,0.0,0.13039704761278312,0.0,0.875,143
mentions_agent_type__NarratedGeneralPublic_per_quote,0.03370913482198749,0.0,0.09503562581351765,0.0,0.5833333333333334,143
mentions_agent_type__NarratedGeneralWorker,0.04895104895104895,0.0,0.4167052413280884,0.0,4.0,143
mentions_agent_type__NarratedGeneralWorker_per_100,0.016318949555524303,0.0,0.14338892779472498,0.0,1.509433962264151,143
mentions_agent_type__NarratedGeneralWorker_per_argument,0.004291163382072473,0.0,0.036780486163596526,0.0,0.36363636363636365,143
mentions_agent_type__NarratedGeneralWorker_per_quote,0.0039013617960986383,0.0,0.03587480173276689,0.0,0.4,143
mentions_agent_type__NarratedGovernment,1.2307692307692308,0.0,1.8142328829047236,0.0,8.0,143
mentions_agent_type__NarratedGovernment_per_100,0.31892860264775963,0.0,0.4872595784029998,0.0,2.262443438914027,143
mentions_agent_type__NarratedGovernment_per_argument,0.09818000785361042,0.0,0.1546109361176604,0.0,0.8,143
mentions_agent_type__NarratedGovernment_per_quote,0.07844921195394844,0.0,0.12534669099723467,0.0,0.5714285714285714,143
mentions_agent_type__NarratedInstitution,0.32167832167832167,0.0,1.1044174973579524,0.0,8.0,143
mentions_agent_type__NarratedInstitution_per_100,0.08786883016838301,0.0,0.3387329400587108,0.0,3.1620553359683794,143
mentions_agent_type__NarratedInstitution_per_argument,0.030009403810254662,0.0,0.1453465775766119,0.0,1.6,143
mentions_agent_type__NarratedInstitution_per_quote,0.026024734078346365,0.0,0.11070254058868714,0.0,1.1428571428571428,143
mentions_agent_type__NarratedInternationalOrganization,0.42657342657342656,0.0,1.4798625292526544,0.0,9.0,143
mentions_agent_type__NarratedInternationalOrganization_per_100,0.10910513062003975,0.0,0.38554335370622195,0.0,3.202846975088968,143
mentions_agent_type__NarratedInternationalOrganization_per_argument,0.03623001327216616,0.0,0.12496800384304581,0.0,0.9,143
mentions_agent_type__NarratedInternationalOrganization_per_quote,0.029293885919945955,0.0,0.10898126370107934,0.0,1.0,143
mentions_agent_type__NarratedJournalist,0.0,0.0,0.0,0.0,0.0,143
mentions_agent_type__NarratedJournalist_per_100,0.0,0.0,0.0,0.0,0.0,143
mentions_agent_type__NarratedJournalist_per_argument,0.0,0.0,0.0,0.0,0.0,143
mentions_agent_type__NarratedJournalist_per_quote,0.0,0.0,0.0,0.0,0.0,143
mentions_agent_type__NarratedMediaOrganization,0.07692307692307693,0.0,0.3157134348018936,0.0,2.0,143
mentions_agent_type__NarratedMediaOrganization_per_100,0.01780846890044672,0.0,0.0734692535098331,0.0,0.4608294930875576,143
mentions_agent_type__NarratedMediaOrganization_per_argument,0.0061653957534964395,0.0,0.027500738692143808,0.0,0.2222222222222222,143
mentions_agent_type__NarratedMediaOrganization_per_quote,0.004135138633571235,0.0,0.016948979298210713,0.0,0.1111111111111111,143
mentions_agent_type__NarratedMilitary,0.7202797202797203,0.0,1.9406895623833254,0.0,15.0,143
mentions_agent_type__NarratedMilitaryFigure,0.1258741258741259,0.0,0.6906532207758598,0.0,7.0,143
mentions_agent_type__NarratedMilitaryFigure_per_100,0.03578182968807792,0.0,0.22090547239933836,0.0,2.4054982817869415,143
mentions_agent_type__NarratedMilitaryFigure_per_argument,0.010583995702205666,0.0,0.061413384817066284,0.0,0.6363636363636364,143
mentions_agent_type__NarratedMilitaryFigure_per_quote,0.01074009324009324,0.0,0.0702944299772023,0.0,0.7777777777777778,143
mentions_agent_type__NarratedMilitary_per_100,0.185152575612444,0.0,0.4520471978996938,0.0,2.935420743639922,143
mentions_agent_type__NarratedMilitary_per_argument,0.058167569829166745,0.0,0.1480071326514164,0.0,1.0,143
mentions_agent_type__NarratedMilitary_per_quote,0.045067836192765394,0.0,0.10746010512297448,0.0,0.6,143
mentions_agent_type__NarratedNGO,0.013986013986013986,0.0,0.11784532629584617,0.0,1.0,143
mentions_agent_type__NarratedNGO_per_100,0.002600286055609906,0.0,0.02192296541695835,0.0,0.19230769230769232,143
mentions_agent_type__NarratedNGO_per_argument,0.0010374241143471913,0.0,0.008747352517881708,0.0,0.07692307692307693,143
mentions_agent_type__NarratedNGO_per_quote,0.0006219077365322424,0.0,0.005241469844407839,0.0,0.045454545454545456,143
mentions_agent_type__NarratedNarratedPerson,0.0,0.0,0.0,0.0,0.0,143
mentions_agent_type__NarratedNarratedPerson_per_100,0.0,0.0,0.0,0.0,0.0,143
mentions_agent_type__NarratedNarratedPerson_per_argument,0.0,0.0,0.0,0.0,0.0,143
mentions_agent_type__NarratedNarratedPerson_per_quote,0.0,0.0,0.0,0.0,0.0,143
mentions_agent_type__NarratedOrganization,2.104895104895105,1.0,2.9424366799780235,0.0,16.0,143
mentions_agent_type__NarratedOrganization_per_100,0.5429049016255483,0.26737967914438504,0.7222198745553198,0.0,3.8314176245210727,143
mentions_agent_type__NarratedOrganization_per_argument,0.1780431497571848,0.07692307692307693,0.25844926096024307,0.0,1.3333333333333333,143
mentions_agent_type__NarratedOrganization_per_quote,0.13204640073540277,0.0625,0.18807592077100993,0.0,1.25,143
mentions_agent_type__NarratedPerson,0.5524475524475524,0.0,2.312483944910606,0.0,24.0,143
mentions_agent_type__NarratedPerson_per_100,0.1392700097755084,0.0,0.5241638967223158,0.0,5.031446540880503,143
mentions_agent_type__NarratedPerson_per_argument,0.03945413034059446,0.0,0.14021308630729418,0.0,1.263157894736842,143
mentions_agent_type__NarratedPerson_per_quote,0.03381461784375098,0.0,0.11290806321115686,0.0,0.96,143
mentions_agent_type__NarratedPolitician,3.4965034965034967,2.0,4.647995366585964,0.0,25.0,143
mentions_agent_type__NarratedPolitician_per_100,0.8644643777798049,0.4694835680751174,1.0409485393453555,0.0,4.86322188449848,143
mentions_agent_type__NarratedPolitician_per_argument,0.2659988151753111,0.16666666666666666,0.32236852774313085,0.0,1.6666666666666667,143
mentions_agent_type__NarratedPolitician_per_quote,0.19114176739945857,0.125,0.21795409768109492,0.0,0.8888888888888888,143
mentions_agent_type__NarratedState,8.328671328671328,8.0,6.610678752920385,0.0,39.0,143
mentions_agent_type__NarratedState_per_100,2.173929557501856,2.102803738317757,1.5400634350072737,0.0,6.944444444444445,143
mentions_agent_type__NarratedState_per_argument,0.6662589501815231,0.6153846153846154,0.4988028775268203,0.0,2.3333333333333335,143
mentions_agent_type__NarratedState_per_quote,0.5016897502150175,0.5,0.35138204463469863,0.0,1.5833333333333333,143
mentions_per_100,5.384616049252595,5.564924114671164,1.9366922489981266,0.38461538461538464,11.246200607902736,143
mentions_per_argument,1.6740326716087306,1.5714285714285714,0.764936977928873,0.14285714285714285,5.5,143
mentions_per_quote,1.26892298105977,1.28,0.4435912412086211,0.09090909090909091,2.5714285714285716,143
mentions_total,20.825174825174827,18.0,10.172674448097089,2.0,58.0,143
quote_status__CallToAction,0.5034965034965035,0.0,0.999113169259463,0.0,6.0,143
quote_status__CallToAction_per_100,0.1297020984151975,0.0,0.2705536850687228,0.0,1.6666666666666667,143
quote_status__CallToAction_per_argument,0.03878496558768195,0.0,0.08299803713933393,0.0,0.42857142857142855,143
quote_status__Contradiction,0.23776223776223776,0.0,0.627515130371899,0.0,4.0,143
quote_status__Contradiction_per_100,0.059002127240144864,0.0,0.1522135561587588,0.0,0.9009009009009009,143
quote_status__Contradiction_per_argument,0.01760562280653174,0.0,0.051467269278049586,0.0,0.4444444444444444,143
quote_status__HypotheticalStatement,0.11188811188811189,0.0,0.4612428877255408,0.0,4.0,143
quote_status__HypotheticalStatement_per_100,0.03159805777927148,0.0,0.1356034148054114,0.0,1.1976047904191616,143
quote_status__HypotheticalStatement_per_argument,0.007649887639914591,0.0,0.03246015044156935,0.0,0.25,143
quote_status__InterpretiveStatement,4.958041958041958,4.0,4.807380074565118,0.0,23.0,143
quote_status__InterpretiveStatement_per_100,1.295546300959868,0.872093023255814,1.1625637712399366,0.0,5.645161290322581,143
quote_status__InterpretiveStatement_per_argument,0.39440675781370493,0.2857142857142857,0.376900464819335,0.0,2.3333333333333335,143
quote_status__OfficialPosition,4.363636363636363,4.0,3.701057052175379,0.0,17.0,143
quote_status__OfficialPosition_per_100,1.1031551434711369,1.0638297872340425,0.8370641107406006,0.0,3.988603988603989,143
quote_status__OfficialPosition_per_argument,0.3386680867002585,0.3,0.2720322549231043,0.0,1.3333333333333333,143
quote_status__PersonalOpinion,2.097902097902098,1.0,2.866304204575045,0.0,19.0,143
quote_status__PersonalOpinion_per_100,0.5328647353747957,0.3442340791738382,0.703985999588604,0.0,4.139433551198257,143
quote_status__PersonalOpinion_per_argument,0.1715984648073778,0.09090909090909091,0.23593996565255249,0.0,1.0555555555555556,143
quote_status__ReportedStatement,4.713286713286713,4.0,3.6145682882156662,0.0,19.0,143
quote_status__ReportedStatement_per_100,1.2005248911864288,1.0389610389610389,0.8839710881668551,0.0,4.844290657439446,143
quote_status__ReportedStatement_per_argument,0.36179177642483445,0.3125,0.2661788765046763,0.0,1.1666666666666667,143
quote_type__DirectQuote,5.573426573426573,5.0,3.9637255033679417,0.0,18.0,143
quote_type__DirectQuote_per_100,1.437575111660416,1.4314928425357873,0.9903534206150836,0.0,5.46218487394958,143
quote_type__DirectQuote_per_argument,0.47145735545251655,0.4,0.4722200882868046,0.0,4.333333333333333,143
quote_type__IndirectQuote,5.4825174825174825,5.0,3.234612863730888,0.0,17.0,143
quote_type__IndirectQuote_per_100,1.4085541873439058,1.3605442176870748,0.7398081572774794,0.0,3.2967032967032965,143
quote_type__IndirectQuote_per_argument,0.4314530153482479,0.4117647058823529,0.23894843417839573,0.0,1.5555555555555556,143
quote_type__ParaphrasedQuote,5.93006993006993,5.0,5.116461075659358,0.0,26.0,143
quote_type__ParaphrasedQuote_per_100,1.5062640554225215,1.2295081967213115,1.1606982740188123,0.0,5.591397849462366,143
quote_type__ParaphrasedQuote_per_argument,0.4275951909795396,0.375,0.28714230096676774,0.0,1.3,143
quotes_per_100,4.352393354426844,4.227941176470588,1.0386004774840687,1.1278195488721805,7.638888888888889,143
quotes_per_argument,1.330505561780304,1.3125,0.41952127417026586,0.3,4.333333333333333,143
quotes_total,16.986013986013987,16.0,6.762558493653471,3.0,38.0,143
total_arguments,13.237762237762238,13.0,5.133373327327646,3.0,31.0,143
unique_agent_types,6.027972027972028,6.0,1.7072507177613259,2.0,12.0,143
unique_agent_types_per_100,1.6987474012462624,1.633393829401089,0.6947323224404478,0.42105263157894735,3.9215686274509802,143
unique_agent_types_per_argument,0.5344906369777134,0.4666666666666667,0.28216668654189503,0.11764705882352941,2.0,143
unique_agents,13.881118881118882,13.0,5.0983144280138815,6.0,39.0,143
unique_agents_per_100,3.728446720876389,3.67816091954023,1.2390838812563505,1.1538461538461537,9.30232558139535,143
unique_agents_per_argument,1.1622846827663738,1.0833333333333333,0.5052713677899542,0.2727272727272727,4.0,143
word_count,388.8251748251748,371.0,117.92330490890355,144.0,649.0,143
